Vehicle,Arrival Time,Payment Type,Exit Time,Wait Time
Kendaraan-1,2.2668006383884465,electronic,6.266800638388446,0.0
Kendaraan-2,2.323086947372311,electronic,6.32308694737231,0.0
Kendaraan-3,3.0378070897611233,electronic,7.037807089761124,0.0
Kendaraan-4,3.599109724583598,electronic,7.599109724583598,0.0
Kendaraan-5,6.562648997490449,electronic,10.562648997490449,0.0
Kendaraan-6,9.07192235037621,electronic,13.07192235037621,0.0
Kendaraan-7,14.02145146049039,electronic,18.02145146049039,0.0
Kendaraan-8,14.223567915171648,electronic,18.22356791517165,0.0
Kendaraan-9,15.441448269386072,electronic,19.441448269386072,0.0
Kendaraan-10,15.508670885402424,electronic,19.508670885402424,0.0
Kendaraan-11,16.05693020975759,electronic,22.02145146049039,1.9645212507328011
Kendaraan-12,17.62118693834904,electronic,22.22356791517165,0.6023809768226087
Kendaraan-13,17.680952279860836,electronic,23.441448269386072,1.7604959895252357
Kendaraan-14,18.173600433557905,electronic,23.508670885402424,1.3350704518445191
Kendaraan-15,20.505804880719175,electronic,26.02145146049039,1.5156465797712144
Kendaraan-16,22.25542544570229,electronic,26.25542544570229,0.0
Kendaraan-17,22.80881748785079,electronic,27.441448269386072,0.6326307815352834
Kendaraan-18,24.786170168521373,electronic,28.786170168521373,0.0
Kendaraan-19,28.470032600128256,electronic,32.470032600128256,0.0
Kendaraan-20,28.48452141913774,electronic,32.484521419137735,0.0
Kendaraan-21,32.126667779338966,electronic,36.126667779338966,0.0
Kendaraan-22,34.78842320372449,electronic,38.78842320372449,0.0
Kendaraan-23,35.71263450705467,electronic,39.71263450705467,0.0
Kendaraan-24,36.08815954724861,electronic,40.08815954724861,0.0
Kendaraan-25,43.09154321044484,electronic,47.09154321044484,0.0
Kendaraan-26,44.00347416573614,electronic,48.00347416573614,0.0
Kendaraan-27,44.2197689464916,electronic,48.2197689464916,0.0
Kendaraan-28,44.44581046870411,electronic,48.44581046870411,0.0
Kendaraan-29,48.62481878344442,electronic,52.62481878344442,0.0
Kendaraan-30,50.68181759890223,electronic,54.68181759890223,0.0
Kendaraan-31,54.33899524202502,electronic,58.33899524202502,0.0
Kendaraan-32,57.246418420794505,electronic,61.246418420794505,0.0
Kendaraan-33,58.95389047419488,electronic,62.95389047419488,0.0
Kendaraan-34,66.9899242201727,electronic,70.9899242201727,0.0
Kendaraan-35,68.04697907094821,electronic,72.04697907094821,0.0
Kendaraan-36,69.83154072758484,electronic,73.83154072758484,0.0
Kendaraan-37,73.76145402666373,electronic,77.76145402666373,0.0
Kendaraan-38,75.90300114916784,electronic,79.90300114916784,0.0
Kendaraan-39,80.29940100548653,electronic,84.29940100548653,0.0
Kendaraan-40,82.21321420848396,electronic,86.21321420848396,0.0
Kendaraan-41,84.9228354801458,electronic,88.9228354801458,0.0
Kendaraan-42,85.02707445849444,electronic,89.02707445849444,0.0
Kendaraan-43,85.60182772593258,electronic,89.60182772593258,0.0
Kendaraan-44,86.3610025196652,electronic,90.3610025196652,0.0
Kendaraan-45,86.54579256957408,electronic,92.9228354801458,2.3770429105717312
Kendaraan-46,87.13467229488964,electronic,93.02707445849444,1.8924021636047996
Kendaraan-47,87.37128081602626,electronic,93.60182772593258,2.230546909906323
Kendaraan-48,88.09504432706692,electronic,94.3610025196652,2.2659581925982906
Kendaraan-49,90.33889960603243,electronic,96.9228354801458,2.5839358741133793
Kendaraan-50,91.34749078363268,electronic,97.02707445849444,1.6795836748617603
Kendaraan-51,92.37487467308256,electronic,97.60182772593258,1.2269530528500212
Kendaraan-52,92.89731582075754,electronic,98.3610025196652,1.4636866989076651
Kendaraan-53,93.58749208995751,electronic,100.9228354801458,3.3353433901882994
Kendaraan-54,99.71894274183646,electronic,103.71894274183646,0.0
Kendaraan-55,102.03944193007173,electronic,106.03944193007173,0.0
Kendaraan-56,104.126959325619,electronic,108.126959325619,0.0
Kendaraan-57,104.54407573752815,electronic,108.54407573752815,0.0
Kendaraan-58,107.4465300857779,electronic,111.4465300857779,0.0
Kendaraan-59,107.84300164312889,electronic,111.84300164312889,0.0
Kendaraan-60,108.90335245800522,electronic,112.90335245800522,0.0
Kendaraan-61,119.0335888323209,electronic,123.0335888323209,0.0
Kendaraan-62,121.30392345556588,electronic,125.30392345556588,0.0
Kendaraan-63,123.11297250038247,electronic,127.11297250038247,0.0
Kendaraan-64,125.67732536557222,electronic,129.67732536557222,0.0
Kendaraan-65,129.7896958870111,electronic,133.7896958870111,0.0
Kendaraan-66,133.11438218088742,electronic,137.11438218088742,0.0
Kendaraan-67,133.69244719757776,electronic,137.69244719757776,0.0
Kendaraan-68,133.76495109717808,electronic,137.76495109717808,0.0
Kendaraan-69,134.6071689717529,electronic,138.6071689717529,0.0
Kendaraan-70,135.2996597119605,electronic,141.11438218088742,1.8147224689269308
Kendaraan-71,135.8262535205575,electronic,141.69244719757776,1.8661936770202772
Kendaraan-72,142.1887453100096,electronic,146.1887453100096,0.0
Kendaraan-73,146.83417385781382,electronic,150.83417385781382,0.0
Kendaraan-74,147.6738767561291,electronic,151.6738767561291,0.0
Kendaraan-75,150.04161712189128,electronic,154.04161712189128,0.0
Kendaraan-76,151.16066563599705,electronic,155.16066563599705,0.0
Kendaraan-77,156.626878220784,electronic,160.626878220784,0.0
Kendaraan-78,157.9914608822809,electronic,161.9914608822809,0.0
Kendaraan-79,158.67528700290427,electronic,162.67528700290427,0.0
Kendaraan-80,159.30461032689914,electronic,163.30461032689914,0.0
Kendaraan-81,161.13593208714514,electronic,165.13593208714514,0.0
Kendaraan-82,161.81330286318777,electronic,165.9914608822809,0.17815801909313222
Kendaraan-83,163.76547984567293,electronic,167.76547984567293,0.0
Kendaraan-84,168.83447437075912,electronic,172.83447437075912,0.0
Kendaraan-85,169.96742318074325,electronic,173.96742318074325,0.0
Kendaraan-86,170.51762521774418,electronic,174.51762521774418,0.0
Kendaraan-87,183.8656728457408,electronic,187.8656728457408,0.0
Kendaraan-88,185.4487475285806,electronic,189.4487475285806,0.0
Kendaraan-89,185.66054871345963,electronic,189.66054871345963,0.0
Kendaraan-90,185.7677987081394,electronic,189.7677987081394,0.0
Kendaraan-91,186.02588683788454,electronic,191.8656728457408,1.8397860078562474
Kendaraan-92,188.22004994269471,electronic,193.4487475285806,1.2286975858858966
Kendaraan-93,191.71026956831798,electronic,195.71026956831798,0.0
Kendaraan-94,192.92906558561498,electronic,196.92906558561498,0.0
Kendaraan-95,193.07492190188495,electronic,197.07492190188495,0.0
Kendaraan-96,194.14303516843697,electronic,198.14303516843697,0.0
Kendaraan-97,206.4814261031443,electronic,210.4814261031443,0.0
Kendaraan-98,208.15507051503423,electronic,212.15507051503423,0.0
Kendaraan-99,216.02877225759178,electronic,220.02877225759178,0.0
Kendaraan-100,220.41032275632782,electronic,224.41032275632782,0.0
Kendaraan-101,220.43598372902088,electronic,224.43598372902088,0.0
Kendaraan-102,223.27053246384986,electronic,227.27053246384986,0.0
Kendaraan-103,225.81451806717027,electronic,229.81451806717027,0.0
Kendaraan-104,227.52554950218916,electronic,231.52554950218916,0.0
Kendaraan-105,228.21526310171947,electronic,232.21526310171947,0.0
Kendaraan-106,230.49154418063918,electronic,234.49154418063918,0.0
Kendaraan-107,230.75438718974445,electronic,234.75438718974445,0.0
Kendaraan-108,232.02219640882112,electronic,236.02219640882112,0.0
Kendaraan-109,233.36581951740854,electronic,237.36581951740854,0.0
Kendaraan-110,240.1994201660162,electronic,244.1994201660162,0.0
Kendaraan-111,244.83561672465112,electronic,248.83561672465112,0.0
Kendaraan-112,245.5149398591014,electronic,249.5149398591014,0.0
Kendaraan-113,247.05787340189016,electronic,251.05787340189016,0.0
Kendaraan-114,247.49522504757368,electronic,251.49522504757368,0.0
Kendaraan-115,252.91206632542753,electronic,256.91206632542753,0.0
Kendaraan-116,257.45477255775575,electronic,261.45477255775575,0.0
Kendaraan-117,258.24245185069276,electronic,262.24245185069276,0.0
Kendaraan-118,260.50631279961846,electronic,264.50631279961846,0.0
Kendaraan-119,262.59291621365986,electronic,266.59291621365986,0.0
Kendaraan-120,262.9615047397675,electronic,266.9615047397675,0.0
Kendaraan-121,266.15624502986094,electronic,270.15624502986094,0.0
Kendaraan-122,267.87886673056954,electronic,271.87886673056954,0.0
Kendaraan-123,271.22976420213354,electronic,275.22976420213354,0.0
Kendaraan-124,272.9092650056359,electronic,276.9092650056359,0.0
Kendaraan-125,272.9105362494646,electronic,276.9105362494646,0.0
Kendaraan-126,273.78118754534717,electronic,277.78118754534717,0.0
Kendaraan-127,273.82489624194676,electronic,279.22976420213354,1.4048679601867775
Kendaraan-128,279.70593030620324,electronic,283.70593030620324,0.0
Kendaraan-129,284.3940832852666,electronic,288.3940832852666,0.0
Kendaraan-130,288.3536441344388,electronic,292.3536441344388,0.0
Kendaraan-131,289.17023844293226,electronic,293.17023844293226,0.0
Kendaraan-132,289.3028397017591,electronic,293.3028397017591,0.0
Kendaraan-133,293.97797952252535,electronic,297.97797952252535,0.0
Kendaraan-134,300.5035572064489,electronic,304.5035572064489,0.0
Kendaraan-135,300.702547482232,electronic,304.702547482232,0.0
Kendaraan-136,302.18146628187725,electronic,306.18146628187725,0.0
Kendaraan-137,302.3408536080861,electronic,306.3408536080861,0.0
Kendaraan-138,305.5178058978985,electronic,309.5178058978985,0.0
Kendaraan-139,308.74386555738255,electronic,312.74386555738255,0.0
Kendaraan-140,309.0492319641598,electronic,313.0492319641598,0.0
Kendaraan-141,310.4823320177952,electronic,314.4823320177952,0.0
Kendaraan-142,312.25582386787994,electronic,316.25582386787994,0.0
Kendaraan-143,312.94018348768986,electronic,316.94018348768986,0.0
Kendaraan-144,317.51599211941726,electronic,321.51599211941726,0.0
Kendaraan-145,318.73855235392267,electronic,322.73855235392267,0.0
Kendaraan-146,319.26744377046475,electronic,323.26744377046475,0.0
Kendaraan-147,320.98966536455833,electronic,324.98966536455833,0.0
Kendaraan-148,323.89872770433703,electronic,327.89872770433703,0.0
Kendaraan-149,324.3978019635817,electronic,328.3978019635817,0.0
Kendaraan-150,325.2279223163675,electronic,329.2279223163675,0.0
Kendaraan-151,337.0693532843484,electronic,341.0693532843484,0.0
Kendaraan-152,339.4015172364235,electronic,343.4015172364235,0.0
Kendaraan-153,340.6824761924338,electronic,344.6824761924338,0.0
Kendaraan-154,342.30232409032527,electronic,346.30232409032527,0.0
Kendaraan-155,342.5889355453583,electronic,346.5889355453583,0.0
Kendaraan-156,343.15449508536807,electronic,347.4015172364235,0.24702215105543246
Kendaraan-157,344.07142615060195,electronic,348.6824761924338,0.6110500418318452
Kendaraan-158,346.04360732205623,electronic,350.30232409032527,0.2587167682690392
Kendaraan-159,346.6247490522978,electronic,350.6247490522978,0.0
Kendaraan-160,347.1775048215352,electronic,351.4015172364235,0.22401241488830692
Kendaraan-161,347.34114726107856,electronic,352.6824761924338,1.3413289313552355
Kendaraan-162,349.5572310185591,electronic,354.30232409032527,0.7450930717661777
Kendaraan-163,350.13498968720535,electronic,354.6247490522978,0.489759365092425
Kendaraan-164,355.37567719671864,electronic,359.37567719671864,0.0
Kendaraan-165,359.7390371028123,electronic,363.7390371028123,0.0
Kendaraan-166,359.90235487976724,electronic,363.90235487976724,0.0
Kendaraan-167,360.5063877801296,electronic,364.5063877801296,0.0
Kendaraan-168,362.9632094930229,electronic,366.9632094930229,0.0
Kendaraan-169,363.4989868565543,electronic,367.7390371028123,0.24005024625796523
Kendaraan-170,363.81437108233297,electronic,367.90235487976724,0.08798379743427631
